acc,cik,name,filing_date,words,chars,tail_share,marker,line,anchor
0000040533-20-000061,40533,GENERAL DYNAMICS CORP,2020-10-28,3151,20005,0.0,,,
0000320193-25-000007,320193,Apple Inc.,2025-01-30,1383,9694,0.0,,,
0001539838-26-000073,1539838,"Diamondback Energy, Inc.",2026-05-04,6063,39741,0.0,,,
0000707549-26-000006,707549,LAM RESEARCH CORP,2026-01-28,2858,19356,0.0,,,
0001558370-25-005743,31462,ECOLAB INC.,2025-04-29,5568,37233,0.0,,,
0000773840-23-000092,773840,HONEYWELL INTERNATIONAL INC,2023-12-11,2092,13833,0.0,,,
0000713676-18-000073,713676,"PNC FINANCIAL SERVICES GROUP, INC.",2018-10-12,10643,61276,0.6138292316730857,supplemental information,Supplemental Information,
0001393612-18-000022,1393612,Discover Financial Services,2018-04-26,1715,11281,0.0,,,
0001551152-23-000026,1551152,AbbVie Inc.,2023-07-06,143,869,0.0,,,
0001326801-21-000011,1326801,"Meta Platforms, Inc.",2021-01-27,2870,18464,0.0,,,
0000895126-16-000590,895126,EXPAND ENERGY Corp,2016-11-03,9906,62217,0.560039860488291,supplemental data,SUPPLEMENTAL DATA,
0000077476-19-000095,77476,PEPSICO INC,2019-10-03,6555,39935,0.0,,,
0000882095-21-000005,882095,"GILEAD SCIENCES, INC.",2021-02-04,8784,55397,0.0,,,
0000707549-23-000077,707549,LAM RESEARCH CORP,2023-04-19,3059,20775,0.0,,,
0000072971-18-000305,72971,WELLS FARGO & COMPANY/MN,2018-04-20,481,3203,0.0,,,
0001193125-24-127511,1090012,DEVON ENERGY CORP/DE,2024-05-01,1725,11511,0.0,,,
0001193125-21-236916,1692819,Vistra Corp.,2021-08-05,5721,33524,0.0,,,
0001104659-19-002843,1166691,COMCAST CORP,2019-01-23,7687,51189,0.0,,,
0000895126-26-000008,895126,EXPAND ENERGY Corp,2026-02-17,4743,30553,0.0,,,
0000066740-22-000073,66740,3M CO,2022-10-25,6734,44090,0.7073259242458607,supplemental financial information,SUPPLEMENTAL FINANCIAL INFORMATION,
