accession_number,cik,company_name,sector,stratum,form,filing_date,section_type,source_document,verdict,n_toc_entries,n_matching,n_resolvable,shipped_span_is_none,best_source,best_words,best_end_ran_to_eof,rec_words,rec_guarded_words,rec_end_at_eof,end_guard_shortened_span,fb_words,fb_end_at_eof,doc_words,head_char_offset,head_opens_on_item1a,clears_word_floor_15,clears_char_gate_30,guarded_span_still_ends_at_eof,band_p4_0.5-2x_median,band_bimodal_recalibrated,defensible_span,best_head
0001193125-15-270231,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2015-07-30,RISK_FACTORS,d57211d10q.htm,R1_genuinely_absent_from_toc,7,0,0,True,none,,,,,,,,,23993,,False,False,,,,,False,
0001193125-16-443263,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2016-01-29,RISK_FACTORS,d122930d10q.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,17662,,False,False,,,,,False,
0001193125-16-562956,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2016-04-28,RISK_FACTORS,d127790d10q.htm,R1_genuinely_absent_from_toc,7,0,0,True,none,,,,,,,,,24071,,False,False,,,,,False,
0001193125-16-662727,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2016-07-29,RISK_FACTORS,d220379d10q.htm,R1_genuinely_absent_from_toc,8,0,0,True,none,,,,,,,,,25569,,False,False,,,,,False,
0000002969-17-000010,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2017-01-27,RISK_FACTORS,apd-10qx31dec2016.htm,R1_genuinely_absent_from_toc,21,0,0,True,none,,,,,,,,,19741,,False,False,,,,,False,
0000002969-17-000019,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2017-04-27,RISK_FACTORS,apd-10qx31mar2017.htm,R1_genuinely_absent_from_toc,21,0,0,True,none,,,,,,,,,27054,,False,False,,,,,False,
0000002969-17-000031,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2017-08-01,RISK_FACTORS,apd-10qx30jun2017.htm,R1_genuinely_absent_from_toc,21,0,0,True,none,,,,,,,,,31123,,False,False,,,,,False,
0000002969-18-000014,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2018-01-26,RISK_FACTORS,apd-10qx31dec2017.htm,R1_genuinely_absent_from_toc,15,0,0,True,none,,,,,,,,,19900,,False,False,,,,,False,
0000002969-18-000026,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2018-04-26,RISK_FACTORS,apd-10qx31mar2018.htm,R1_genuinely_absent_from_toc,15,0,0,True,none,,,,,,,,,25154,,False,False,,,,,False,
0000002969-18-000034,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2018-07-26,RISK_FACTORS,apd-10qx30jun2018.htm,R1_genuinely_absent_from_toc,15,0,0,True,none,,,,,,,,,28298,,False,False,,,,,False,
