rank,batch,chunk_id
185,batch_05,E2CHK-d86d1e815ab6bd10
186,batch_05,E2CHK-9342fa8457cfb895
187,batch_05,E2CHK-93b76cc89e748627
188,batch_05,E2CHK-cf5aa0cd9c95e4ee
189,batch_05,E2CHK-36601e12c6b3177a
190,batch_05,E2CHK-98514b8d6cf9814e
191,batch_05,E2CHK-775fa52ea1fa1820
192,batch_05,E2CHK-cc4180ed654b42de
193,batch_05,E2CHK-69e7f9286d88e13e
194,batch_05,E2CHK-62b7f78ac141c48d
195,batch_05,E2CHK-eb7faaec93ffd0cd
196,batch_05,E2CHK-a83e92e090af3dc2
197,batch_05,E2CHK-763089c60ee1cbfd
198,batch_05,E2CHK-a888d45cb28cf251
199,batch_05,E2CHK-bbf21eef4bdca577
200,batch_05,E2CHK-9cbbbb12bdc63272
201,batch_06,E2CHK-2330859487453986
202,batch_06,E2CHK-d2925dad3092fd9d
203,batch_06,E2CHK-9b0e481826b4b02a
204,batch_06,E2CHK-9c96d5f4645c6f17
205,batch_06,E2CHK-5ae45af46e4a0558
206,batch_06,E2CHK-a45c7eb727c18fd4
207,batch_06,E2CHK-f8154d76409080a3
208,batch_06,E2CHK-375cc9f65b5f4ca2
209,batch_06,E2CHK-34ae3ecc75458c4c
210,batch_06,E2CHK-b9cbe918d3cead0a
211,batch_06,E2CHK-df17fa866f5ea2bc
212,batch_06,E2CHK-48a62fd38118e54c
213,batch_06,E2CHK-42398c6fe1c40f77
214,batch_06,E2CHK-de44426d67da502b
215,batch_06,E2CHK-397f693db996a0a5
216,batch_06,E2CHK-e7fae80d08d9ad65
217,batch_06,E2CHK-f1710be27660c442
218,batch_06,E2CHK-82b2492a67f3a838
219,batch_06,E2CHK-424ab90579241b5c
220,batch_06,E2CHK-5ce0422c899cd47f
221,batch_06,E2CHK-afda557ca8fa0a00
222,batch_06,E2CHK-07343153f4da0cd4
223,batch_06,E2CHK-9992a913245c70dc
224,batch_06,E2CHK-bd6d40bfa743d7e9
225,batch_06,E2CHK-b1dcfad4cf301fae
226,batch_06,E2CHK-cf40c42e13ffd313
227,batch_06,E2CHK-24ffe2cf322f5174
228,batch_06,E2CHK-072cdc9ef91088cf
229,batch_06,E2CHK-356ea310dacb3870
230,batch_06,E2CHK-5498fdccc84f4d31
231,batch_06,E2CHK-92bc555031d929d0
232,batch_06,E2CHK-bab88b607789ab2e
233,batch_06,E2CHK-43c99ed059e45bf9
234,batch_06,E2CHK-46e76944be24ceac
235,batch_06,E2CHK-3065eb4a544bc898
236,batch_06,E2CHK-aa6791cdc8cd9d42
237,batch_06,E2CHK-cac60fcf29f3459e
238,batch_06,E2CHK-09366f1650ed94d3
239,batch_06,E2CHK-501409621e5ca4b5
240,batch_06,E2CHK-7995f75857a3c8b9
241,batch_07,E2CHK-e9012e252ae60012
242,batch_07,E2CHK-b01df19d7e3fd960
243,batch_07,E2CHK-a6bddc058587bc6f
244,batch_07,E2CHK-e6c82266dc0dba90
245,batch_07,E2CHK-1fedbf9e1fa8c941
246,batch_07,E2CHK-e0bff5c28b3b4893
247,batch_07,E2CHK-371eab4898627682
248,batch_07,E2CHK-bbe514f22fde6389
249,batch_07,E2CHK-d747af0ef8e212a3
250,batch_07,E2CHK-ce92535a1177db1e
251,batch_07,E2CHK-57fd1acfe806ac73
252,batch_07,E2CHK-778fbd4e20e7cb7d
253,batch_07,E2CHK-bed403feac3278ef
254,batch_07,E2CHK-b802582aba1fb9f9
255,batch_07,E2CHK-b5151529936a822a
256,batch_07,E2CHK-a55a42eef205eb7f
257,batch_07,E2CHK-c01cab2aeaa56f31
258,batch_07,E2CHK-4679986c2d35061f
259,batch_07,E2CHK-0ab193960ac1b16e
260,batch_07,E2CHK-3281c060608b17e3
261,batch_07,E2CHK-d13cfe9ca5271caf
262,batch_07,E2CHK-c365ce339b2d0636
263,batch_07,E2CHK-41ec729cfa18210a
264,batch_07,E2CHK-b69e1ac3d92b9287
265,batch_07,E2CHK-7ff32fcd26f78e7c
266,batch_07,E2CHK-6d3a45b809b2c15c
267,batch_07,E2CHK-c96a9eb9f18a5219
268,batch_07,E2CHK-5e24420cdc959210
269,batch_07,E2CHK-31a4acb370e5d5fa
270,batch_07,E2CHK-668c51a0258a96ac
271,batch_07,E2CHK-64964ba526f30c04
272,batch_07,E2CHK-1520659824342413
273,batch_07,E2CHK-40a075138596207f
274,batch_07,E2CHK-57a2c3f396b8daae
275,batch_07,E2CHK-5f48f7b3a4ae87d4
276,batch_07,E2CHK-28641af1dd53a56c
277,batch_07,E2CHK-33fccbc999d29c39
278,batch_07,E2CHK-3b2368436e1dabeb
279,batch_07,E2CHK-449be2e96b98210f
280,batch_07,E2CHK-9e41e323b3bd3d74
281,batch_08,E2CHK-69be94c889ddae8f
282,batch_08,E2CHK-ef08533dd2d53c08
283,batch_08,E2CHK-77c41b5b86df350f
284,batch_08,E2CHK-f2a795fe479809c0
285,batch_08,E2CHK-6cd135825997ae1f
286,batch_08,E2CHK-85ceccd2f54e7cb5
287,batch_08,E2CHK-4225b0ead4a72be3
288,batch_08,E2CHK-639095b4598bbd6c
289,batch_08,E2CHK-254e479a0e14017c
290,batch_08,E2CHK-220362b8a5402f45
291,batch_08,E2CHK-7cbffd8ee5da4661
292,batch_08,E2CHK-fd078bde440967d5
293,batch_08,E2CHK-de8e4ed70e020195
294,batch_08,E2CHK-11a58e2f495bf74a
295,batch_08,E2CHK-00c161b034295d61
296,batch_08,E2CHK-ccefc92c68b96565
297,batch_08,E2CHK-4b6e4a6d39799bd6
298,batch_08,E2CHK-9515ef3c52d0810c
299,batch_08,E2CHK-d31e86fcdacacb90
300,batch_08,E2CHK-2ce9f3faf7cb5f52
301,batch_08,E2CHK-da9c2b450fde9ce1
302,batch_08,E2CHK-f27bf6c2b45ee4b6
303,batch_08,E2CHK-6ff03466617699bd
304,batch_08,E2CHK-69f2e3228c36c9e3
305,batch_08,E2CHK-f95062fdb4491102
306,batch_08,E2CHK-0cac4c283c6b0349
307,batch_08,E2CHK-9e6ceeacf4043d91
308,batch_08,E2CHK-c43eb3c0270ed234
309,batch_08,E2CHK-2b92694d27f44f44
310,batch_08,E2CHK-a3fa1fce9944732c
311,batch_08,E2CHK-72b036a1e637890c
312,batch_08,E2CHK-27e176de32394955
313,batch_08,E2CHK-52cc2d0dab5c20e7
314,batch_08,E2CHK-d9d934eeee7bc2ff
315,batch_08,E2CHK-6b3e31d591c4831a
316,batch_08,E2CHK-fb8de7ad4aede6ec
317,batch_08,E2CHK-a1d346c0cdecfb7b
318,batch_08,E2CHK-8ef2e0a0b47ecef2
319,batch_08,E2CHK-e7397d78fc42fd23
320,batch_08,E2CHK-2fa30845f07220da
321,batch_09,E2CHK-83bab413ca96db72
322,batch_09,E2CHK-be1cd6a6a48a21ca
323,batch_09,E2CHK-ee12a785445c615d
324,batch_09,E2CHK-085bd17662548c01
325,batch_09,E2CHK-6447928264fe436e
326,batch_09,E2CHK-3e3e8f98e3c78238
327,batch_09,E2CHK-c2dd3adcde295e94
328,batch_09,E2CHK-fa086d09dbde01b0
329,batch_09,E2CHK-28ebcd44d8b059be
330,batch_09,E2CHK-51046704d4d63683
331,batch_09,E2CHK-1e6540576b9b5608
332,batch_09,E2CHK-0456083c97ac08ee
333,batch_09,E2CHK-6c5a45cabe9acb51
334,batch_09,E2CHK-ddd4bfdea170c6e6
335,batch_09,E2CHK-f6a580a23f5c73c2
336,batch_09,E2CHK-ffe43fc41893b067
337,batch_09,E2CHK-27545805b9fd3ad2
338,batch_09,E2CHK-33d1c06d9617d8b5
339,batch_09,E2CHK-bc398911aebf0e58
340,batch_09,E2CHK-580b26993a6e7c27
341,batch_09,E2CHK-4ea264c16206c2ee
342,batch_09,E2CHK-77a86170e1ee1f63
343,batch_09,E2CHK-0841a5956f833f39
344,batch_09,E2CHK-0cc5e131fed8252b
345,batch_09,E2CHK-3a78c49f50c4a56c
346,batch_09,E2CHK-4aeadb05b8e30c1b
347,batch_09,E2CHK-e00bc8f76896345b
348,batch_09,E2CHK-e635c152d1658cb5
349,batch_09,E2CHK-fd489c7f49f99f08
350,batch_09,E2CHK-67e6cecd5b1abba2
351,batch_09,E2CHK-54fa185abdd953d8
352,batch_09,E2CHK-d089b676ee3165e6
353,batch_09,E2CHK-c5c863aade689171
354,batch_09,E2CHK-22c39cf287cfaa74
355,batch_09,E2CHK-8b7238499caecfe1
356,batch_09,E2CHK-ccc5704ba2f35ea4
357,batch_09,E2CHK-fbb19f8563ddc928
358,batch_09,E2CHK-a2fa6335f209b802
359,batch_09,E2CHK-af2ed9345811d30c
360,batch_09,E2CHK-2c0ad23fc92dee4e
361,batch_10,E2CHK-3ee0bbef93ae4dcb
362,batch_10,E2CHK-c930635e1e19d252
363,batch_10,E2CHK-0a42120714b1207d
364,batch_10,E2CHK-ed298eb2315250f3
365,batch_10,E2CHK-df0f98a67031f9fb
366,batch_10,E2CHK-66f7347c3bf8bd02
367,batch_10,E2CHK-1bbcab2078925a26
368,batch_10,E2CHK-231e11ce2174bd10
369,batch_10,E2CHK-174467ecd1d78cba
370,batch_10,E2CHK-c98142910010a2cd
371,batch_10,E2CHK-01c92684480b5513
372,batch_10,E2CHK-a731d11ca2a8e719
373,batch_10,E2CHK-1ab6da7f9ff3ff0e
374,batch_10,E2CHK-eaafdb3612d9cb6f
375,batch_10,E2CHK-abebf082e8e3654c
376,batch_10,E2CHK-fcf19eb28f8f76b5
377,batch_10,E2CHK-a758cd53755b26ef
378,batch_10,E2CHK-cffe17671c703cd6
379,batch_10,E2CHK-3f4eec59d8b29abc
380,batch_10,E2CHK-3e4b1e775f6dfa7c
381,batch_10,E2CHK-bfc8d598b0f65dcf
382,batch_10,E2CHK-3148c5ccd6f61f0c
383,batch_10,E2CHK-5f2b734c483093f8
384,batch_10,E2CHK-dcd193aceddd69bd
385,batch_10,E2CHK-eb22b11c66fc5e22
386,batch_10,E2CHK-994a0a58a10f6601
387,batch_10,E2CHK-c1af67064fd14a76
388,batch_10,E2CHK-24b6855a3e22af3c
389,batch_10,E2CHK-fccdba6e4a09e1b0
390,batch_10,E2CHK-3ba2e0555aa64516
391,batch_10,E2CHK-f600161c99dac606
392,batch_10,E2CHK-7990de57e2f57c69
393,batch_10,E2CHK-0ddee806369bb5ea
394,batch_10,E2CHK-0cfaf880f0c45565
395,batch_10,E2CHK-2e00f9f208eb07d1
396,batch_10,E2CHK-b35504e20027252b
397,batch_10,E2CHK-222e63615cde8b9e
398,batch_10,E2CHK-b28810fa52b98867
399,batch_10,E2CHK-3536f1859d0b9ace
400,batch_10,E2CHK-96587e26aae50670
401,batch_11,E2CHK-7d248b7a0ff69243
402,batch_11,E2CHK-054997137de82f7b
403,batch_11,E2CHK-f250711cbe52f65d
404,batch_11,E2CHK-eb0ee62af8e53b67
405,batch_11,E2CHK-3d5311484beff83b
406,batch_11,E2CHK-b6465997d25b9ad1
407,batch_11,E2CHK-b95d1a1455ae1d9c
408,batch_11,E2CHK-8a0a66af1210f721
409,batch_11,E2CHK-abd2f287f4fb05a2
410,batch_11,E2CHK-513c52760f4b57ab
411,batch_11,E2CHK-91128403425f3226
412,batch_11,E2CHK-47cc76dfb9a3c32a
413,batch_11,E2CHK-467320dd59f87847
414,batch_11,E2CHK-c7d6eab1006311ed
415,batch_11,E2CHK-ec221a30668ec7eb
416,batch_11,E2CHK-7e99ae13aba40039
417,batch_11,E2CHK-8b3bac8422ef1b11
418,batch_11,E2CHK-8a96bf6a3dd6c8af
419,batch_11,E2CHK-f473fa26a849163c
420,batch_11,E2CHK-8e725fe3f8f457ac
421,batch_11,E2CHK-572b9bcdc6974b67
422,batch_11,E2CHK-6e273e7fca87de2c
423,batch_11,E2CHK-9df306a8ee4ef6a4
424,batch_11,E2CHK-77ae5a3574840b81
425,batch_11,E2CHK-15db6e305205f638
426,batch_11,E2CHK-089c290420f4276a
427,batch_11,E2CHK-06aa17d41bd8951e
428,batch_11,E2CHK-76020604051d6b67
429,batch_11,E2CHK-01a091dac41c8ca4
430,batch_11,E2CHK-453d033a0c30650c
431,batch_11,E2CHK-c463b8e0e81caed9
432,batch_11,E2CHK-26745b5e49168f8f
433,batch_11,E2CHK-22ecc8db74085e3c
434,batch_11,E2CHK-d50bea6ae29510b8
435,batch_11,E2CHK-35cde1d3b4a84a48
436,batch_11,E2CHK-904fd36b7c6cda4a
437,batch_11,E2CHK-fdb7717f3a7c4df3
438,batch_11,E2CHK-2e0ce7c958667fd1
439,batch_11,E2CHK-3bbad561a9feafeb
440,batch_11,E2CHK-836ba628a6896314
441,batch_12,E2CHK-c6893f9e957dd08d
442,batch_12,E2CHK-3b55035eed37c009
443,batch_12,E2CHK-cecfe507af285466
444,batch_12,E2CHK-5ac9a7d1fa6700ad
445,batch_12,E2CHK-e8aae4c51cc7fb94
446,batch_12,E2CHK-a161581d1b1b04b2
447,batch_12,E2CHK-ed2706dfa61b52d9
448,batch_12,E2CHK-5aa7b1784a23960d
449,batch_12,E2CHK-153830b1cef2ff55
450,batch_12,E2CHK-2d90e2ccfe435d5c
451,batch_12,E2CHK-5dd07d9442b36942
452,batch_12,E2CHK-3c7fd18aaab7c7df
453,batch_12,E2CHK-b577f0e5e2ba7e9b
454,batch_12,E2CHK-fbfd259e6cd4a189
455,batch_12,E2CHK-9347d369054a29cc
456,batch_12,E2CHK-aededc1f02afd26d
457,batch_12,E2CHK-dc843d3a2623c573
458,batch_12,E2CHK-7b8487a0ae0f267d
459,batch_12,E2CHK-e554766755f75667
460,batch_12,E2CHK-8cd03e16acd39846
461,batch_12,E2CHK-f99b9542b58ebf7a
462,batch_12,E2CHK-c2811f3c825e7eb2
463,batch_12,E2CHK-2c90cf4ecfc18a2c
464,batch_12,E2CHK-b2e00fa4731541aa
465,batch_12,E2CHK-c6c7fad5d331f8a0
466,batch_12,E2CHK-cb2a41379789f3af
467,batch_12,E2CHK-abd698aac02b2ae8
468,batch_12,E2CHK-9eb79b6b9ed12833
469,batch_12,E2CHK-c4264ab9f3cf8e59
470,batch_12,E2CHK-3eb3f6cfec783dba
471,batch_12,E2CHK-57aced8928bd9a1d
472,batch_12,E2CHK-e1d332ecd68c19f5
473,batch_12,E2CHK-22f9206e6562326a
474,batch_12,E2CHK-682e7a65b1a2464d
475,batch_12,E2CHK-15bf587b7cca72e6
476,batch_12,E2CHK-9cf41ac3a9678062
477,batch_12,E2CHK-51bef9dd170a47a7
478,batch_12,E2CHK-74ce7b78ae9042b5
479,batch_12,E2CHK-d76995aaf3db0c47
480,batch_12,E2CHK-1e67c55d53778851
481,batch_13,E2CHK-d829f55ca8f37d7b
482,batch_13,E2CHK-80517001894518ed
483,batch_13,E2CHK-77d05055cdf09936
484,batch_13,E2CHK-cc5d2223bb5c7434
485,batch_13,E2CHK-13ac74e3f24918cf
486,batch_13,E2CHK-051f807ab7340029
487,batch_13,E2CHK-2b7216aa44bdef4a
488,batch_13,E2CHK-ce249c623371ab45
489,batch_13,E2CHK-5d92515d9b56cd6f
490,batch_13,E2CHK-f8c72ef20e9f47e5
491,batch_13,E2CHK-3a5f0a4b59768397
