cik,company_name,sector,stratum,form,section_type,n_attempt,n_ok,n_flagged,n_item_absent_from_toc,n_fail,fail_rate,flag_rate,n_pre2019,fail_rate_pre2019,fail_rate_2019plus,top_reason_code,n_low_confidence,median_words
1358071,CONCHO RESOURCES INC,energy,core,10-Q,RISK_FACTORS,17,11,6,0,0,0.0,0.3529,11,0.0,0.0,heading_regex_fallback,6,421.0
1640147,Snowflake Inc.,tech,core,10-Q,MDA,17,17,0,0,0,0.0,0.0,0,,0.0,ok,0,11174.0
1640147,Snowflake Inc.,tech,core,10-Q,RISK_FACTORS,17,17,0,0,0,0.0,0.0,0,,0.0,ok,0,17770.0
773910,ANADARKO PETROLEUM CORP,energy,core,8-K,EX99_PRESS_RELEASE,17,17,0,0,0,0.0,0.0,14,0.0,0.0,ok,0,4323.0
33213,EQT Corp,energy,core,8-K,8K_BODY,16,0,16,0,0,0.0,1.0,0,,0.0,below_length_floor,0,301.5
1782754,AZEK Co Inc.,consumer,core,10-Q,MDA,15,15,0,0,0,0.0,0.0,0,,0.0,ok,0,9509.0
1782754,AZEK Co Inc.,consumer,core,10-Q,RISK_FACTORS,15,15,0,0,0,0.0,0.0,0,,0.0,ok,0,99.0
1578845,Allergan plc,healthcare,core,10-Q,MDA,15,15,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,11684.0
1578845,Allergan plc,healthcare,core,10-Q,RISK_FACTORS,15,4,11,0,0,0.0,0.7333,11,0.0,0.0,head_foreign_item,0,35.0
701221,Cigna Holding Co,healthcare,core,8-K,EX99_PRESS_RELEASE,15,11,4,0,0,0.0,0.2667,15,0.0,,earnings_population_gate,0,4424.0
1001039,TWDC Enterprises 18 Corp.,consumer,core,8-K,EX99_PRESS_RELEASE,15,15,0,0,0,0.0,0.0,14,0.0,0.0,ok,0,4550.0
1122304,AETNA INC /PA/,healthcare,core,8-K,EX99_PRESS_RELEASE,15,13,2,0,0,0.0,0.1333,15,0.0,,earnings_population_gate,0,8208.0
816284,CELGENE CORP /DE/,healthcare,core,10-Q,MDA,14,14,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,10897.5
816284,CELGENE CORP /DE/,healthcare,core,10-Q,RISK_FACTORS,14,14,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,8376.0
1047122,RAYTHEON CO/,industrials,extension,10-Q,MDA,14,14,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,19125.5
1047122,RAYTHEON CO/,industrials,extension,10-Q,RISK_FACTORS,14,14,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,99.5
1868275,Constellation Energy Corp,utilities,extension,10-Q,MDA,14,14,0,0,0,0.0,0.0,0,,0.0,ok,0,9111.0
1868275,Constellation Energy Corp,utilities,extension,10-Q,RISK_FACTORS,14,14,0,0,0,0.0,0.0,0,,0.0,ok,0,28.0
45012,HALLIBURTON CO,energy,core,8-K,EX99_PRESS_RELEASE,14,14,0,0,0,0.0,0.0,0,,0.0,ok,0,4744.5
936402,Shire plc,healthcare,core,8-K,EX99_PRESS_RELEASE,14,14,0,0,0,0.0,0.0,14,0.0,,ok,0,9232.5
884905,LINDE INC,materials_realestate,extension,8-K,EX99_PRESS_RELEASE,14,14,0,0,0,0.0,0.0,14,0.0,,ok,0,5996.5
1161154,"Energy Transfer Operating, L.P.",energy,core,8-K,EX99_PRESS_RELEASE,14,6,8,0,0,0.0,0.5714,14,0.0,,earnings_supplemental_diluted,0,3904.5
1532063,Express Scripts Holding Co.,consumer,core,8-K,EX99_PRESS_RELEASE,14,8,6,0,0,0.0,0.4286,14,0.0,,earnings_supplemental_diluted,0,5130.5
1539838,"Diamondback Energy, Inc.",energy,core,8-K,8K_BODY,14,0,14,0,0,0.0,1.0,0,,0.0,earnings_population_gate,0,1023.5
773910,ANADARKO PETROLEUM CORP,energy,core,10-Q,MDA,13,13,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,7696.0
773910,ANADARKO PETROLEUM CORP,energy,core,10-Q,RISK_FACTORS,13,13,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,37.0
1105705,"WARNER MEDIA, LLC",consumer,core,8-K,EX99_PRESS_RELEASE,13,11,2,0,0,0.0,0.1538,13,0.0,,earnings_population_gate,0,6769.0
