chunk_id,arm
E2CHK-9e41e323b3bd3d74,P
E2CHK-69be94c889ddae8f,P
E2CHK-ef08533dd2d53c08,G-N
E2CHK-77c41b5b86df350f,P
E2CHK-f2a795fe479809c0,P
E2CHK-6cd135825997ae1f,P
E2CHK-85ceccd2f54e7cb5,G-N
E2CHK-4225b0ead4a72be3,P
E2CHK-639095b4598bbd6c,P
E2CHK-254e479a0e14017c,G-A
E2CHK-220362b8a5402f45,P
E2CHK-7cbffd8ee5da4661,G-N
E2CHK-fd078bde440967d5,P
E2CHK-de8e4ed70e020195,P
E2CHK-11a58e2f495bf74a,P
E2CHK-00c161b034295d61,P
E2CHK-ccefc92c68b96565,P
E2CHK-4b6e4a6d39799bd6,G-N
E2CHK-9515ef3c52d0810c,G-N
E2CHK-d31e86fcdacacb90,G-A
E2CHK-2ce9f3faf7cb5f52,P
E2CHK-da9c2b450fde9ce1,P
E2CHK-f27bf6c2b45ee4b6,P
E2CHK-6ff03466617699bd,P
E2CHK-69f2e3228c36c9e3,G-N
E2CHK-f95062fdb4491102,P
E2CHK-0cac4c283c6b0349,P
E2CHK-9e6ceeacf4043d91,P
E2CHK-c43eb3c0270ed234,G-A
E2CHK-2b92694d27f44f44,P
E2CHK-a3fa1fce9944732c,P
E2CHK-72b036a1e637890c,G-N
E2CHK-27e176de32394955,P
E2CHK-52cc2d0dab5c20e7,G-N
E2CHK-d9d934eeee7bc2ff,G-A
E2CHK-6b3e31d591c4831a,P
E2CHK-fb8de7ad4aede6ec,P
E2CHK-a1d346c0cdecfb7b,P
E2CHK-8ef2e0a0b47ecef2,P
E2CHK-e7397d78fc42fd23,P
E2CHK-2fa30845f07220da,P
E2CHK-83bab413ca96db72,G-N
E2CHK-be1cd6a6a48a21ca,P
E2CHK-ee12a785445c615d,P
E2CHK-085bd17662548c01,G-N
E2CHK-6447928264fe436e,P
E2CHK-3e3e8f98e3c78238,G-N
E2CHK-c2dd3adcde295e94,G-A
E2CHK-fa086d09dbde01b0,P
E2CHK-28ebcd44d8b059be,G-N
E2CHK-51046704d4d63683,P
E2CHK-1e6540576b9b5608,P
E2CHK-0456083c97ac08ee,P
E2CHK-6c5a45cabe9acb51,G-A
E2CHK-ddd4bfdea170c6e6,P
E2CHK-f6a580a23f5c73c2,G-A
E2CHK-ffe43fc41893b067,G-A
E2CHK-27545805b9fd3ad2,P
E2CHK-33d1c06d9617d8b5,P
E2CHK-bc398911aebf0e58,G-A
E2CHK-580b26993a6e7c27,P
E2CHK-4ea264c16206c2ee,P
E2CHK-77a86170e1ee1f63,G-A
E2CHK-0841a5956f833f39,G-N
E2CHK-0cc5e131fed8252b,P
E2CHK-3a78c49f50c4a56c,P
E2CHK-4aeadb05b8e30c1b,P
E2CHK-e00bc8f76896345b,P
E2CHK-e635c152d1658cb5,P
E2CHK-fd489c7f49f99f08,G-A
E2CHK-67e6cecd5b1abba2,G-A
E2CHK-54fa185abdd953d8,P
E2CHK-d089b676ee3165e6,P
E2CHK-c5c863aade689171,P
E2CHK-22c39cf287cfaa74,P
E2CHK-8b7238499caecfe1,P
E2CHK-ccc5704ba2f35ea4,P
E2CHK-fbb19f8563ddc928,P
E2CHK-a2fa6335f209b802,G-A
E2CHK-af2ed9345811d30c,P
E2CHK-2c0ad23fc92dee4e,P
E2CHK-3ee0bbef93ae4dcb,P
E2CHK-c930635e1e19d252,G-A
E2CHK-0a42120714b1207d,P
E2CHK-ed298eb2315250f3,P
E2CHK-df0f98a67031f9fb,G-A
E2CHK-66f7347c3bf8bd02,P
E2CHK-1bbcab2078925a26,P
E2CHK-231e11ce2174bd10,G-A
E2CHK-174467ecd1d78cba,P
E2CHK-c98142910010a2cd,P
E2CHK-01c92684480b5513,P
E2CHK-a731d11ca2a8e719,G-N
E2CHK-1ab6da7f9ff3ff0e,G-A
E2CHK-eaafdb3612d9cb6f,P
E2CHK-abebf082e8e3654c,P
E2CHK-fcf19eb28f8f76b5,G-A
E2CHK-a758cd53755b26ef,P
E2CHK-cffe17671c703cd6,P
E2CHK-3f4eec59d8b29abc,P
E2CHK-3e4b1e775f6dfa7c,P
E2CHK-bfc8d598b0f65dcf,P
E2CHK-3148c5ccd6f61f0c,P
E2CHK-5f2b734c483093f8,G-N
