cik,name,tickers,sector,sic,member_from,member_to,n_reconstitutions,entry_sector_rank,exit_sector_rank,median_sector_rank,median_float_usd,all_dates
1618921,"Walgreens Boots Alliance, Inc.",,consumer,5912,2017-07-01,2018-07-01,1,15,15,15.0,73000000000.0,False
109198,TJX COMPANIES INC /DE/,TJX,consumer,5651,2017-07-01,2018-07-01,1,19,19,19.0,53583828925.0,False
1091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,consumer,4841,2017-07-01,2023-07-01,6,20,18,17.5,66650000000.0,False
1065280,NETFLIX INC,NFLX,consumer,7841,2018-07-01,,9,18,4,7.0,192301932760.0,False
1467858,General Motors Co,GM,consumer,3711,2018-07-01,2021-07-01,3,20,18,18.0,54700000000.0,False
77476,PEPSICO INC,PEP,consumer,2080,2019-07-01,,8,5,11,8.5,194650000000.0,False
1318605,"Tesla, Inc.",TSLA,consumer,3711,2019-07-01,2020-07-01,1,19,19,19.0,46570000000.0,False
37996,FORD MOTOR CO,"F,F-PB,F-PC,F-PD",consumer,3711,2019-07-01,2020-07-01,1,20,20,20.0,43335618411.0,False
31462,ECOLAB INC.,ECL,consumer,2840,2020-07-01,2021-07-01,1,17,17,17.0,56547973473.0,False
89800,SHERWIN WILLIAMS CO,SHW,consumer,5200,2020-07-01,2021-07-01,1,19,19,19.0,42201407338.0,False
27419,TARGET CORP,TGT,consumer,5331,2020-07-01,2024-07-01,4,20,20,20.0,69062870468.5,False
80424,PROCTER & GAMBLE Co,PG,consumer,2840,2021-07-01,,6,2,5,5.0,351000000000.0,False
1744489,Walt Disney Co,DIS,consumer,7990,2021-07-01,,6,9,12,9.5,203150000000.0,False
1318605,"Tesla, Inc.",TSLA,consumer,3711,2021-07-01,,6,10,2,3.0,565325000000.0,False
60667,LOWES COMPANIES INC,LOW,consumer,5211,2021-07-01,,6,13,14,14.5,128400000000.0,False
1853513,"Mister Car Wash, Inc.",MCW,consumer,7500,2023-07-01,,4,2,3,2.5,765600995000.0,False
1001250,ESTEE LAUDER COMPANIES INC,EL,consumer,2844,2023-07-01,2024-07-01,1,17,17,17.0,86000000000.0,False
1782754,AZEK Co Inc.,,consumer,3089,2024-07-01,2025-07-01,1,1,1,1.0,2796678033000.0,False
764180,"ALTRIA GROUP, INC.",MO,consumer,2111,2024-07-01,,3,20,16,19.0,80000000000.0,False
21665,COLGATE PALMOLIVE CO,CL,consumer,2844,2025-07-01,,2,18,20,19.0,76300000000.0,False
89800,SHERWIN WILLIAMS CO,SHW,consumer,5200,2025-07-01,,2,20,19,19.5,80300104250.5,False
64803,CVS HEALTH Corp,CVS,consumer,5912,2026-07-01,,1,18,18,18.0,86382523283.0,False
34088,EXXON MOBIL CORP,,energy,2911,2016-07-01,,11,1,1,1.0,350000000000.0,True
93410,CHEVRON CORP,CVX,energy,2911,2016-07-01,,11,2,2,2.0,236200000000.0,True
87347,SLB LIMITED/NV,SLB,energy,1389,2016-07-01,,11,3,12,5.0,66860000000.0,True
1163165,CONOCOPHILLIPS,COP,energy,2911,2016-07-01,,11,4,3,4.0,80900000000.0,True
1506307,"KINDER MORGAN, INC.","KMI,EP-PC",energy,4922,2016-07-01,,11,5,7,10.0,36152128132.0,True
821189,EOG RESOURCES INC,EOG,energy,1311,2016-07-01,,11,6,6,6.0,63532000000.0,True
797468,OCCIDENTAL PETROLEUM CORP /DE/,"OXY,OXY-WT",energy,1311,2016-07-01,,11,7,15,7.0,51700000000.0,True
1534701,Phillips 66,PSX,energy,2911,2016-07-01,,11,8,11,9.0,42300000000.0,True
773910,ANADARKO PETROLEUM CORP,,energy,1311,2016-07-01,2020-07-01,4,9,11,11.0,32250000000.0,False
107263,"WILLIAMS COMPANIES, INC.",WMB,energy,4922,2016-07-01,2017-07-01,1,10,10,10.0,39345468396.0,False
1061219,ENTERPRISE PRODUCTS PARTNERS L.P.,"EPD,EPDU",energy,4922,2016-07-01,,11,11,13,11.0,39610000000.0,True
45012,HALLIBURTON CO,HAL,energy,1389,2016-07-01,2026-07-01,10,12,20,18.0,23850000000.0,False
1035002,VALERO ENERGY CORP/TX,VLO,energy,2911,2016-07-01,,11,13,14,12.0,35500000000.0,True
1483096,WILLIAMS PARTNERS L.P.,,energy,4922,2016-07-01,2019-07-01,3,14,9,14.0,28408143353.0,False
1510295,Marathon Petroleum Corp,MPC,energy,2911,2016-07-01,,11,15,10,10.0,36700000000.0,True
1276187,Energy Transfer LP,"ET,ET-PI",energy,4922,2016-07-01,2017-07-01,1,16,16,16.0,25400000000.0,False
1012569,"Energy Transfer, LP",,energy,4922,2016-07-01,2018-07-01,2,17,17,17.0,21715000000.0,False
1090012,DEVON ENERGY CORP/DE,DVN,energy,1311,2016-07-01,2018-07-01,2,18,18,18.0,21600000000.0,False
1373835,Spectra Energy Corp.,,energy,4923,2016-07-01,2017-07-01,1,19,19,19.0,22000000000.0,False
6769,APACHE CORP,,energy,1311,2016-07-01,2020-07-01,4,20,20,19.5,19688369297.0,False
1038357,PIONEER NATURAL RESOURCES CO,,energy,1311,2017-07-01,2025-07-01,8,12,8,12.5,29474102514.5,False
1126975,"Magellan Midstream Partners, L.P.",,energy,4610,2017-07-01,2018-07-01,1,19,19,19.0,17271907668.0,False
4447,HESS CORP,,energy,2911,2017-07-01,2018-07-01,1,20,20,20.0,16770000000.0,False
107263,"WILLIAMS COMPANIES, INC.",WMB,energy,4922,2018-07-01,,9,16,5,13.0,32986794536.0,False
1161154,"Energy Transfer Operating, L.P.",,energy,4610,2018-07-01,2021-07-01,3,17,17,17.0,21630000000.0,False
1039684,ONEOK INC /NEW/,OKE,energy,4923,2018-07-01,,9,18,9,16.0,27400000000.0,False
1358071,CONCHO RESOURCES INC,,energy,1311,2018-07-01,2021-07-01,3,20,18,19.0,20433760692.0,False
1090012,DEVON ENERGY CORP/DE,DVN,energy,1311,2019-07-01,2020-07-01,1,16,16,16.0,22500000000.0,False
895728,ENBRIDGE INC,"ENB,EBBNF,EBBGF,EBGEF,EBRGF,EBRZF,ENBFF,ENBGF,ENBHF,ENBMF,ENBNF,ENBOF,ENBRF,ENBSF,ENFFF,ENNPF",energy,4610,2020-07-01,,7,3,4,4.0,77500000000.0,False
1276187,Energy Transfer LP,"ET,ET-PI",energy,4922,2020-07-01,,7,14,8,14.0,30570000000.0,False
4447,HESS CORP,,energy,2911,2020-07-01,2026-07-01,6,20,15,16.5,26881000000.0,False
1126975,"Magellan Midstream Partners, L.P.",,energy,4610,2021-07-01,2022-07-01,1,19,19,19.0,9686843947.0,False
1552000,MPLX LP,"MPLX,MPLXP",energy,4610,2021-07-01,2022-07-01,1,20,20,20.0,6800000000.0,False
1090012,DEVON ENERGY CORP/DE,DVN,energy,1311,2022-07-01,,5,18,19,18.0,29500000000.0,False
1539838,"Diamondback Energy, Inc.",FANG,energy,1311,2022-07-01,,5,20,18,19.0,23400000000.0,False
1389170,Targa Resources Corp.,TRGP,energy,4922,2025-07-01,,2,19,16,17.5,32418400000.0,False
33213,EQT Corp,EQT,energy,1311,2026-07-01,,1,17,17,17.0,34700000000.0,False
895126,EXPAND ENERGY Corp,EXE,energy,1311,2026-07-01,,1,20,20,20.0,19600000000.0,False
72971,WELLS FARGO & COMPANY/MN,"WFC,WFC-PY,WFC-PL,WFC-PC,WFCNP,WFC-PA,WFC-PD,WFC-PZ",financials,6021,2016-07-01,,11,1,6,6.0,208700000000.0,True
1067983,BERKSHIRE HATHAWAY INC,"BRK-B,BRK-A",financials,6331,2016-07-01,,11,2,1,1.0,417300000000.0,True
19617,JPMORGAN CHASE & CO,"JPM,JPM-PC,AMJB,JPM-PD,JPM-PJ,JPM-PK,JPM-PL,JPM-PM,VYLD",financials,6021,2016-07-01,,11,3,2,2.0,354989423493.0,True
70858,BANK OF AMERICA CORP /DE/,"BAC,BML-PG,BML-PL,BAC-PB,BAC-PK,BAC-PE,BAC-PL,BAC-PM,BAC-PN,BAC-PO,BAC-PP,BAC-PQ,BAC-PS,BACRP,BML-PH,BML-PJ,MER-PK",financials,6021,2016-07-01,,11,4,5,5.0,250136457342.0,True
831001,CITIGROUP INC,"C,C-PN,C-PR",financials,6021,2016-07-01,,11,5,11,7.0,123000000000.0,True
1403161,VISA INC.,V,financials,7389,2016-07-01,,11,6,3,3.0,272700000000.0,True
1141391,Mastercard Inc,MA,financials,7389,2016-07-01,,11,7,4,5.0,261300000000.0,True
886982,GOLDMAN SACHS GROUP INC,"GS,GSCE,GS-PA,GS-PC,GS-PD",financials,6211,2016-07-01,,11,8,8,9.0,88600000000.0,True
5272,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,financials,6331,2016-07-01,2021-07-01,5,9,20,15.0,56480000000.0,False
36104,US BANCORP \DE\,"USB,USB-PA,USB-PH,USB-PP,USB-PQ,USB-PR,USB-PS",financials,6021,2016-07-01,2024-07-01,8,10,17,10.0,79250000000.0,False
895421,MORGAN STANLEY,"MS,MS-PK,MS-PE,MS-PA,MS-PF,MS-PI,MS-PL,MS-PO,MS-PP,MS-PQ",financials,6211,2016-07-01,,11,11,7,10.0,79320949858.0,True
1065088,EBAY INC,EBAY,financials,7389,2016-07-01,2017-07-01,1,12,12,12.0,67436299797.0,False
1099219,METLIFE INC,"MET,MET-PA,MET-PE,MET-PF",financials,6311,2016-07-01,2021-07-01,5,13,19,17.0,46500000000.0,False
1364742,"BlackRock Finance, Inc.",,financials,6211,2016-07-01,2025-07-01,9,14,9,11.0,79100000000.0,False
713676,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,financials,6021,2016-07-01,2021-07-01,5,15,15,15.0,59800000000.0,False
927628,CAPITAL ONE FINANCIAL CORP,"COF,COF-PI,COF-PJ,COF-PK,COF-PL,COF-PN",financials,6021,2016-07-01,2017-07-01,1,16,16,16.0,47456297783.0,False
1390777,Bank of New York Mellon Corp,"BNY,BNY-PK",financials,6022,2016-07-01,2020-07-01,4,17,17,16.5,49509176735.0,False
1137774,PRUDENTIAL FINANCIAL INC,"PRU,PFH,PRH,PRS",financials,6311,2016-07-01,2017-07-01,1,18,18,18.0,39550000000.0,False
316709,SCHWAB CHARLES CORP,"SCHW,SCHW-PD,SCHW-PJ",financials,6211,2016-07-01,2017-07-01,1,19,19,19.0,38000000000.0,False
896159,Chubb Ltd,CB,financials,6331,2016-07-01,2022-07-01,6,20,15,14.5,59500000000.0,False
1633917,"PayPal Holdings, Inc.",PYPL,financials,7389,2017-07-01,2025-07-01,8,16,17,10.5,89600000000.0,False
62709,"MARSH & MCLENNAN COMPANIES, INC.",MRSH,financials,6411,2017-07-01,2018-07-01,1,18,18,18.0,35474889954.0,False
86312,"TRAVELERS COMPANIES, INC.",TRV,financials,6331,2017-07-01,2018-07-01,1,19,19,19.0,34172576191.0,False
1222333,SPDR GOLD TRUST,GLD,financials,6221,2017-07-01,2018-07-01,1,20,20,20.0,32760852000.0,False
316709,SCHWAB CHARLES CORP,"SCHW,SCHW-PD,SCHW-PJ",financials,6211,2018-07-01,2021-07-01,3,18,18,18.0,51200000000.0,False
1137774,PRUDENTIAL FINANCIAL INC,"PRU,PFH,PRH,PRS",financials,6311,2018-07-01,2019-07-01,1,19,19,19.0,46180000000.0,False
1156375,CME GROUP INC.,CME,financials,6200,2018-07-01,,9,20,19,17.0,68500000000.0,False
927628,CAPITAL ONE FINANCIAL CORP,"COF,COF-PI,COF-PJ,COF-PK,COF-PL,COF-PN",financials,6021,2019-07-01,2020-07-01,1,20,20,20.0,43100000000.0,False
62709,"MARSH & MCLENNAN COMPANIES, INC.",MRSH,financials,6411,2020-07-01,2022-07-01,2,16,17,16.5,52128565812.0,False
1571949,"Intercontinental Exchange, Inc.",ICE,financials,6200,2020-07-01,2021-07-01,1,17,17,17.0,48031836007.0,False
1136893,"Fidelity National Information Services, Inc.",FIS,financials,7389,2021-07-01,2023-07-01,2,9,14,11.5,85121757298.0,False
798354,FISERV INC,FISV,financials,7389,2021-07-01,2023-07-01,2,13,20,16.5,67822821953.5,False
1543151,"Uber Technologies, Inc",UBER,financials,7389,2021-07-01,2023-07-01,2,18,13,15.5,71250000000.0,False
92230,TRUIST FINANCIAL CORP,"TFC,TFC-PI,TFC-PO,TFC-PR",financials,6021,2021-07-01,2023-07-01,2,19,18,18.5,62200000000.0,False
1123360,GLOBAL PAYMENTS INC,GPN,financials,7389,2021-07-01,2022-07-01,1,20,20,20.0,50324272356.0,False
316709,SCHWAB CHARLES CORP,"SCHW,SCHW-PD,SCHW-PJ",financials,6211,2022-07-01,,5,12,10,10.0,122800000000.0,False
713676,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,financials,6021,2022-07-01,2024-07-01,2,16,20,18.0,72700000000.0,False
1099590,MERCADOLIBRE INC,MELI,financials,7389,2022-07-01,2023-07-01,1,19,19,19.0,71151553526.0,False
1393612,Discover Financial Services,,financials,6141,2023-07-01,2024-07-01,1,12,12,12.0,82497990080.0,False
896159,Chubb Ltd,CB,financials,6331,2023-07-01,,4,13,15,14.0,92500000000.0,False
62709,"MARSH & MCLENNAN COMPANIES, INC.",MRSH,financials,6411,2023-07-01,,4,15,17,14.0,98218073834.5,False
1222333,SPDR GOLD TRUST,GLD,financials,6221,2023-07-01,2024-07-01,1,18,18,18.0,68128669000.0,False
80661,PROGRESSIVE CORP/OH/,PGR,financials,6331,2023-07-01,,4,19,12,13.5,98889631824.0,False
1543151,"Uber Technologies, Inc",UBER,financials,7389,2024-07-01,,3,13,9,9.0,147000000000.0,False
798354,FISERV INC,FISV,financials,7389,2024-07-01,,3,16,20,16.0,85486940134.0,False
315293,Aon plc,AON,financials,6411,2024-07-01,2025-07-01,1,18,18,18.0,70135237097.0,False
1393818,Blackstone Inc.,BX,financials,6282,2024-07-01,,3,20,16,16.0,88200000000.0,False
1571949,"Intercontinental Exchange, Inc.",ICE,financials,6200,2025-07-01,,2,17,18,17.5,91200000000.0,False
1099590,MERCADOLIBRE INC,MELI,financials,7389,2025-07-01,,2,18,14,16.0,100076686438.0,False
1404912,KKR & Co. Inc.,"KKR,KKR-PD,KKRS,KKRT",financials,6282,2025-07-01,2026-07-01,1,19,19,19.0,71400000000.0,False
927628,CAPITAL ONE FINANCIAL CORP,"COF,COF-PI,COF-PJ,COF-PK,COF-PL,COF-PN",financials,6021,2026-07-01,,1,13,13,13.0,135200000000.0,False
200406,JOHNSON & JOHNSON,JNJ,healthcare,2834,2016-07-01,,11,1,2,1.0,363000000000.0,True
78003,PFIZER INC,PFE,healthcare,2834,2016-07-01,,11,2,11,3.0,209000000000.0,True
310158,"Merck & Co., Inc.",MRK,healthcare,2834,2016-07-01,,11,3,6,4.0,196870000000.0,True
882095,"GILEAD SCIENCES, INC.",GILD,healthcare,2836,2016-07-01,2023-07-01,7,4,20,13.0,79506595778.0,False
1578845,Allergan plc,,healthcare,2834,2016-07-01,2021-07-01,5,5,17,12.0,81000000000.0,False
731766,UNITEDHEALTH GROUP INC,UNH,healthcare,6324,2016-07-01,,11,6,4,2.0,281771756077.0,True
14272,BRISTOL MYERS SQUIBB CO,"BMY,CELG-RI",healthcare,2834,2016-07-01,,11,7,16,10.0,110846810075.0,True
1551152,AbbVie Inc.,ABBV,healthcare,2834,2016-07-01,,11,8,3,5.0,171597270533.0,True
318154,AMGEN INC,AMGN,healthcare,2836,2016-07-01,,11,9,9,9.0,125649811435.0,True
875045,BIOGEN INC.,BIIB,healthcare,2836,2016-07-01,2020-07-01,4,10,15,15.0,57743849868.5,False
816284,CELGENE CORP /DE/,,healthcare,2834,2016-07-01,2020-07-01,4,11,18,12.0,83997559338.0,False
66740,3M CO,MMM,healthcare,3841,2016-07-01,2024-07-01,8,12,15,10.5,102950000000.0,False
59478,ELI LILLY & Co,LLY,healthcare,2834,2016-07-01,,11,13,1,7.0,138907000000.0,True
1800,ABBOTT LABORATORIES,ABT,healthcare,2834,2016-07-01,,11,14,5,7.0,157956823602.0,True
872589,"REGENERON PHARMACEUTICALS, INC.",REGN,healthcare,2834,2016-07-01,2019-07-01,3,15,16,16.0,50337000000.0,False
936402,Shire plc,,healthcare,2834,2016-07-01,2019-07-01,3,16,17,16.0,50100000000.0,False
1122304,AETNA INC /PA/,,healthcare,6324,2016-07-01,2019-07-01,3,17,19,17.0,43200000000.0,False
1156039,"Elevance Health, Inc.",ELV,healthcare,6324,2016-07-01,2017-07-01,1,18,18,18.0,42815533599.0,False
927653,MCKESSON CORP,MCK,healthcare,5122,2016-07-01,2018-07-01,2,19,19,19.0,40050000000.0,False
701221,Cigna Holding Co,,healthcare,6324,2016-07-01,2017-07-01,1,20,20,20.0,41600000000.0,False
1613103,Medtronic plc,MDT,healthcare,3845,2017-07-01,,10,6,12,8.5,118150000000.0,False
310764,STRYKER CORP,SYK,healthcare,3841,2017-07-01,,10,18,10,14.0,71414257894.0,False
1156039,"Elevance Health, Inc.",ELV,healthcare,6324,2018-07-01,,9,18,18,13.0,87349478366.0,False
10795,BECTON DICKINSON & CO,BDX,healthcare,3841,2019-07-01,2026-07-01,7,16,19,18.0,70252717647.0,False
1035267,INTUITIVE SURGICAL INC,ISRG,healthcare,3842,2019-07-01,,8,19,7,13.5,90050000000.0,False
885725,BOSTON SCIENTIFIC CORP,BSX,healthcare,3841,2019-07-01,2021-07-01,2,20,19,19.5,49050000000.0,False
1555280,Zoetis Inc.,ZTS,healthcare,2834,2020-07-01,,7,18,20,17.0,78673000000.0,False
1110803,"ILLUMINA, INC.",ILMN,healthcare,3826,2020-07-01,2021-07-01,1,20,20,20.0,48200000000.0,False
875320,VERTEX PHARMACEUTICALS INC / MA,VRTX,healthcare,2834,2021-07-01,2022-07-01,1,12,12,12.0,74800000000.0,False
1739940,Cigna Group,CI,healthcare,6324,2021-07-01,,6,14,17,15.5,82800000000.0,False
872589,"REGENERON PHARMACEUTICALS, INC.",REGN,healthcare,2834,2021-07-01,2022-07-01,1,19,19,19.0,63344000000.0,False
1682852,"Moderna, Inc.",MRNA,healthcare,2836,2022-07-01,2023-07-01,1,17,17,17.0,80800000000.0,False
1099800,Edwards Lifesciences Corp,EW,healthcare,3842,2022-07-01,2023-07-01,1,19,19,19.0,64028235982.0,False
875320,VERTEX PHARMACEUTICALS INC / MA,VRTX,healthcare,2834,2023-07-01,,4,16,13,13.5,102050000000.0,False
872589,"REGENERON PHARMACEUTICALS, INC.",REGN,healthcare,2834,2023-07-01,2026-07-01,3,19,14,18.0,76700000000.0,False
49071,HUMANA INC,HUM,healthcare,6324,2023-07-01,2024-07-01,1,20,20,20.0,59158438222.0,False
885725,BOSTON SCIENTIFIC CORP,BSX,healthcare,3841,2024-07-01,,3,17,8,15.0,113100000000.0,False
882095,"GILEAD SCIENCES, INC.",GILD,healthcare,2836,2024-07-01,2025-07-01,1,20,20,20.0,67000000000.0,False
927653,MCKESSON CORP,MCK,healthcare,5122,2025-07-01,,2,20,15,17.5,79000000000.0,False
882095,"GILEAD SCIENCES, INC.",GILD,healthcare,2836,2026-07-01,,1,14,14,14.0,103200000000.0,False
66740,3M CO,MMM,healthcare,3841,2026-07-01,,1,19,19,19.0,81100000000.0,False
320193,Apple Inc.,AAPL,tech,3571,2016-07-01,,11,1,2,1.0,1070633000000.0,True
789019,MICROSOFT CORP,MSFT,tech,7372,2016-07-01,,11,2,3,2.0,1200000000000.0,True
1326801,"Meta Platforms, Inc.",META,tech,7370,2016-07-01,,11,3,5,4.0,486000000000.0,True
51143,INTERNATIONAL BUSINESS MACHINES CORP,IBM,tech,3570,2016-07-01,,11,4,9,9.0,131400000000.0,True
50863,INTEL CORP,INTC,tech,3674,2016-07-01,2026-07-01,10,5,17,5.0,156550000000.0,False
858877,"CISCO SYSTEMS, INC.",CSCO,tech,3576,2016-07-01,,11,6,10,7.0,204000000000.0,True
1341439,ORACLE CORP,"ORCL,ORCL-PD",tech,7372,2016-07-01,,11,7,7,9.0,129615142000.0,True
804328,QUALCOMM INC/DE,QCOM,tech,3663,2016-07-01,,11,8,15,11.0,109303248283.0,True
47217,HP INC,HPQ,tech,3570,2016-07-01,2020-07-01,4,9,19,18.0,33116821345.0,False
97476,TEXAS INSTRUMENTS INC,TXN,tech,3674,2016-07-01,,11,10,13,10.0,116120360680.0,True
790070,EMC CORP,,tech,3572,2016-07-01,2017-07-01,1,11,11,11.0,50627600803.0,False
8670,AUTOMATIC DATA PROCESSING INC,ADP,tech,7374,2016-07-01,2022-07-01,6,12,14,14.0,45733739152.5,False
1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,tech,7371,2016-07-01,2021-07-01,5,13,20,16.0,37000000000.0,False
1108524,"Salesforce, Inc.",CRM,tech,7372,2016-07-01,,11,14,12,10.0,139600000000.0,True
723125,MICRON TECHNOLOGY INC,MU,tech,3674,2016-07-01,2017-07-01,1,15,15,15.0,27700000000.0,False
6951,APPLIED MATERIALS INC /DE,AMAT,tech,3674,2016-07-01,,11,16,17,16.0,49674881854.0,True
1271024,LINKEDIN CORP,,tech,7370,2016-07-01,2017-07-01,1,17,17,17.0,23695488242.0,False
896878,INTUIT INC.,INTU,tech,7372,2016-07-01,2021-07-01,5,18,15,17.0,28800000000.0,False
106040,WESTERN DIGITAL CORP,WDC,tech,3572,2016-07-01,2017-07-01,1,19,19,19.0,23000000000.0,False
1137789,Seagate Technology Holdings plc,STX,tech,3572,2016-07-01,2017-07-01,1,20,20,20.0,21700000000.0,False
1045810,NVIDIA CORP,NVDA,tech,3674,2017-07-01,,10,13,1,5.5,337790000000.0,False
718877,"Activision Blizzard, Inc.",,tech,7372,2017-07-01,2022-07-01,5,14,16,14.0,42587342045.0,False
712515,ELECTRONIC ARTS INC.,EA,tech,7372,2017-07-01,2021-07-01,4,15,18,17.5,35827500000.0,False
804753,CERNER Corp,,tech,7373,2017-07-01,2018-07-01,1,19,19,19.0,17600000000.0,False
849399,Gen Digital Inc.,"GEN,GENVR",tech,7372,2017-07-01,2018-07-01,1,20,20,20.0,15559432822.0,False
1652044,Alphabet Inc.,"GOOGL,GOOG,GOOGM,GOOGN",tech,7370,2018-07-01,,9,2,4,3.0,1256100000000.0,False
1645590,Hewlett Packard Enterprise Co,"HPE,HPE-PC",tech,3570,2018-07-01,2019-07-01,1,19,19,19.0,30672608482.0,False
1418091,"TWITTER, INC.",,tech,7370,2019-07-01,2020-07-01,1,20,20,20.0,31200000000.0,False
1730168,Broadcom Inc.,AVGO,tech,3674,2020-07-01,,7,7,6,7.0,220100000000.0,False
1373715,"ServiceNow, Inc.",NOW,tech,7372,2020-07-01,,7,17,14,17.0,82900000000.0,False
2488,ADVANCED MICRO DEVICES INC,AMD,tech,3674,2021-07-01,,6,15,11,12.0,161350000000.0,False
1585521,"Zoom Communications, Inc.",ZM,tech,7370,2021-07-01,2023-07-01,2,18,18,18.0,73450000000.0,False
769397,"Autodesk, Inc.",ADSK,tech,7372,2021-07-01,2022-07-01,1,19,19,19.0,51800000000.0,False
896878,INTUIT INC.,INTU,tech,7372,2022-07-01,,5,16,16,15.0,152800000000.0,False
1512673,"Block, Inc.","XYZ,BSQKZ",tech,7372,2022-07-01,2023-07-01,1,17,17,17.0,95200000000.0,False
1564408,Snap Inc,SNAP,tech,7370,2022-07-01,2023-07-01,1,20,20,20.0,81700000000.0,False
8670,AUTOMATIC DATA PROCESSING INC,ADP,tech,7374,2023-07-01,,4,16,19,17.5,101199252324.0,False
707549,LAM RESEARCH CORP,LRCX,tech,3559,2023-07-01,2024-07-01,1,18,18,18.0,77032123135.0,False
718877,"Activision Blizzard, Inc.",,tech,7372,2023-07-01,2024-07-01,1,20,20,20.0,60436471136.0,False
813672,CADENCE DESIGN SYSTEMS INC,CDNS,tech,7372,2024-07-01,2025-07-01,1,19,19,19.0,63740000000.0,False
1640147,Snowflake Inc.,SNOW,tech,7372,2024-07-01,2025-07-01,1,20,20,20.0,56600000000.0,False
1327567,Palo Alto Networks Inc,PANW,tech,3577,2025-07-01,,2,18,18,18.0,113900000000.0,False
1596532,"Arista Networks, Inc.",ANET,tech,3576,2025-07-01,2026-07-01,1,20,20,20.0,90200000000.0,False
1321655,Palantir Technologies Inc.,PLTR,tech,7372,2026-07-01,,1,8,8,8.0,299300000000.0,False
1535527,"CrowdStrike Holdings, Inc.",CRWD,tech,7372,2026-07-01,,1,20,20,20.0,109300000000.0,False
