cik,name,instant,filed,val,accn,form,reason
766421,"ALASKA AIR GROUP, INC.",2010-06-30,2011-05-04,1600000000000000.0,0000766421-11-000033,10-Q,above_ceiling
766421,"ALASKA AIR GROUP, INC.",2010-06-30,2011-08-04,1600000000000000.0,0000766421-11-000069,10-Q,above_ceiling
773840,HONEYWELL INTERNATIONAL INC,2008-06-30,2009-08-03,37.5,0000930413-09-003987,10-Q/A,below_floor
773840,HONEYWELL INTERNATIONAL INC,2008-06-30,2009-10-23,37.5,0000930413-09-005315,10-Q,below_floor
794323,"Level 3 Parent, LLC",2018-06-30,2019-03-19,0.0,0000794323-19-000004,10-K,zero_or_negative
794323,"Level 3 Parent, LLC",2019-06-30,2020-03-05,0.0,0000794323-20-000003,10-K,zero_or_negative
794323,"Level 3 Parent, LLC",2020-06-30,2021-03-03,0.0,0000794323-21-000005,10-K,zero_or_negative
794323,"Level 3 Parent, LLC",2021-06-30,2022-02-24,0.0,0000794323-22-000004,10-K,zero_or_negative
794323,"Level 3 Parent, LLC",2022-06-30,2023-02-23,0.0,0000794323-23-000004,10-K,zero_or_negative
794323,"Level 3 Parent, LLC",2023-06-30,2024-02-22,0.0,0000794323-24-000004,10-K,zero_or_negative
794323,"Level 3 Parent, LLC",2024-06-30,2025-02-20,0.0,0000794323-25-000006,10-K,zero_or_negative
794323,"Level 3 Parent, LLC",2025-06-30,2026-02-20,0.0,0000794323-26-000005,10-K,zero_or_negative
797468,OCCIDENTAL PETROLEUM CORP /DE/,2010-06-30,2011-02-24,0.0,0000797468-11-000026,10-K,zero_or_negative
800240,ODP Corp,2023-06-30,2024-02-28,1722730616000000.0,0000950170-24-021858,10-K,above_ceiling
800240,ODP Corp,2024-06-28,2025-02-26,1298991046000000.0,0000950170-25-027569,10-K,above_ceiling
804328,QUALCOMM INC/DE,2011-03-27,2011-11-02,8.6665135824e+16,0001234452-11-000360,10-K,above_ceiling
808362,Baker Hughes Holdings LLC,2017-06-30,2018-02-23,0.0,0000808362-18-000006,10-K,zero_or_negative
808362,Baker Hughes Holdings LLC,2017-07-05,2019-02-19,0.0,0000808362-19-000006,10-K,zero_or_negative
808362,Baker Hughes Holdings LLC,2019-06-30,2020-02-13,0.0,0000808362-20-000003,10-K,zero_or_negative
808362,Baker Hughes Holdings LLC,2020-06-30,2021-02-25,0.0,0000808362-21-000004,10-K,zero_or_negative
808362,Baker Hughes Holdings LLC,2021-06-30,2022-02-11,0.0,0000808362-22-000010,10-K,zero_or_negative
