cik,company_name,sector,stratum,accession_number,form,filing_date,section_type,extraction_status,reason_code,extraction_method,extraction_confidence,word_count,prose_word_share,source_document,note,year,era
313616,DANAHER CORP /DE/,industrials,extension,0000313616-19-000035,10-K,2019-02-21,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,dhr-20181231x10xk.htm,,2019,2019plus
313616,DANAHER CORP /DE/,industrials,extension,0000313616-19-000035,10-K,2019-02-21,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,dhr-20181231x10xk.htm,,2019,2019plus
318154,AMGEN INC,healthcare,core,0000318154-17-000004,10-K,2017-02-14,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,amgn-12312016x10k.htm,,2017,pre2019
318154,AMGEN INC,healthcare,core,0000318154-17-000004,10-K,2017-02-14,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,amgn-12312016x10k.htm,,2017,pre2019
753308,NEXTERA ENERGY INC,utilities,extension,0000753308-16-000337,10-K,2016-02-22,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,nee-12312015x10k.htm,,2016,pre2019
753308,NEXTERA ENERGY INC,utilities,extension,0000753308-17-000060,10-K,2017-02-23,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,nee-12312016x10k.htm,,2017,pre2019
753308,NEXTERA ENERGY INC,utilities,extension,0000753308-18-000013,10-K,2018-02-16,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,nee-12312017x10k.htm,,2018,pre2019
766704,WELLTOWER INC.,materials_realestate,extension,0000766704-16-000055,10-K,2016-02-18,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,10-K.htm,,2016,pre2019
766704,WELLTOWER INC.,materials_realestate,extension,0000766704-16-000055,10-K,2016-02-18,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,10-K.htm,,2016,pre2019
766704,WELLTOWER INC.,materials_realestate,extension,0000766704-17-000012,10-K,2017-02-22,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,10-k.htm,,2017,pre2019
766704,WELLTOWER INC.,materials_realestate,extension,0000766704-17-000012,10-K,2017-02-22,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,10-k.htm,,2017,pre2019
766704,WELLTOWER INC.,materials_realestate,extension,0000766704-18-000012,10-K,2018-02-28,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,10-K.htm,,2018,pre2019
766704,WELLTOWER INC.,materials_realestate,extension,0000766704-18-000012,10-K,2018-02-28,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,10-K.htm,,2018,pre2019
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,0000773840-22-000018,10-K,2022-02-11,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,hon-20211231.htm,,2022,2019plus
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,0000773840-23-000013,10-K,2023-02-10,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,hon-20221231.htm,,2023,2019plus
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,0000773840-23-000013,10-K,2023-02-10,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,hon-20221231.htm,,2023,2019plus
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,0000773840-24-000014,10-K,2024-02-16,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,hon-20231231.htm,,2024,2019plus
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,0000773840-24-000014,10-K,2024-02-16,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,hon-20231231.htm,,2024,2019plus
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,0000773840-25-000010,10-K,2025-02-14,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,hon-20241231.htm,,2025,2019plus
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,0000773840-25-000010,10-K,2025-02-14,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,hon-20241231.htm,,2025,2019plus
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,0000773840-26-000013,10-K,2026-02-17,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,hon-20251231.htm,,2026,2019plus
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,0000773840-26-000013,10-K,2026-02-17,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,hon-20251231.htm,,2026,2019plus
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-16-000222,10-K,2016-02-23,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-sce201510k.htm,,2016,pre2019
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-16-000222,10-K,2016-02-23,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-sce201510k.htm,,2016,pre2019
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-17-000033,10-K,2017-02-21,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-sce201610k.htm,,2017,pre2019
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-17-000033,10-K,2017-02-21,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-sce201610k.htm,,2017,pre2019
