cluster,cluster_n,cik,company_name,form,section_type,reason_code,accession_number,filing_date,error,cur_heading,dash_heading,item_kw_within_60,bare_title_line,kw_anywhere,combined_items_row,combined_items_with_kw,title_then_itemlabel,item_token_count,crossref_index,words,n_anchors,anchor_items,target_in_toc,target_toc_row_has_kw,dialect,probed,weight
313616|10-K|RISK_FACTORS|item_absent_from_toc,4,313616,DANAHER CORP /DE/,10-K,RISK_FACTORS,item_absent_from_toc,0000313616-18-000038,2018-02-21,,17,17,17,1,17,0,0,0,17,0,73493,44,"1,10,11,12,13,14,15,16,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,2,2.0
318154|10-K|MDA|item_absent_from_toc,1,318154,AMGEN INC,10-K,MDA,item_absent_from_toc,0000318154-17-000004,2017-02-14,,3,3,3,2,4,0,0,0,3,0,70866,50,"1,10,11,12,13,14,15,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,1,1.0
318154|10-K|RISK_FACTORS|item_absent_from_toc,1,318154,AMGEN INC,10-K,RISK_FACTORS,item_absent_from_toc,0000318154-17-000004,2017-02-14,,19,19,19,2,20,0,0,0,19,0,70866,50,"1,10,11,12,13,14,15,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,1,1.0
731766|10-Q|MDA|item_absent_from_toc,8,731766,UNITEDHEALTH GROUP INC,10-Q,MDA,item_absent_from_toc,0000731766-16-000088,2016-11-08,,2,2,2,2,8,0,0,0,6,0,15074,59,"1,10,1A,2,3,4,5,6,7,8,9",1,1,D_other_absent,2,4.0
731766|10-Q|MDA|item_absent_from_toc,8,731766,UNITEDHEALTH GROUP INC,10-Q,MDA,item_absent_from_toc,0000731766-17-000028,2017-08-04,,2,2,2,2,8,0,0,0,6,0,13854,56,"1,1A,2,3,4,5,6,7,8,9",1,1,D_other_absent,2,4.0
732717|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,1,732717,AT&T INC.,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000732717-18-000024,2018-05-03,,0,0,0,0,2,0,0,0,0,0,25246,0,,0,0,D16_kw_present_no_heading_line,1,1.0
753308|10-K|MDA|item_absent_from_toc,3,753308,NEXTERA ENERGY INC,10-K,MDA,item_absent_from_toc,0000753308-18-000013,2018-02-16,,3,3,3,2,8,0,0,1,3,0,81246,66,"1,10,11,12,13,14,15,16,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,1,3.0
766704|10-Q|MDA|item_absent_from_toc,9,766704,WELLTOWER INC.,10-Q,MDA,item_absent_from_toc,0000766704-15-000031,2015-08-04,,30,31,31,29,34,0,0,0,33,0,27747,9,"1,2,3,4,5,6",1,1,D_other_absent,2,4.5
766704|10-Q|MDA|item_absent_from_toc,9,766704,WELLTOWER INC.,10-Q,MDA,item_absent_from_toc,0000766704-15-000043,2015-10-30,,31,32,32,31,35,0,0,0,34,0,28355,9,"1,2,3,4,5,6",1,1,D_other_absent,2,4.5
766704|10-K|MDA|item_absent_from_toc,3,766704,WELLTOWER INC.,10-K,MDA,item_absent_from_toc,0000766704-16-000055,2016-02-18,,25,28,28,26,28,0,0,0,28,0,97371,5,"1,10,13,15,7",1,1,D_other_absent,1,3.0
766704|10-K|RISK_FACTORS|item_absent_from_toc,3,766704,WELLTOWER INC.,10-K,RISK_FACTORS,item_absent_from_toc,0000766704-17-000012,2017-02-22,,2,8,8,3,11,0,0,0,8,0,89156,5,"1,10,13,15,7",0,0,D11_item_no_not_row_prefix,1,3.0
773840|10-K|RISK_FACTORS|no_toc_and_no_heading_match,1,773840,HONEYWELL INTERNATIONAL INC,10-K,RISK_FACTORS,no_toc_and_no_heading_match,0000773840-22-000018,2022-02-11,,1,1,1,11,18,0,0,0,1,1,57262,0,,0,0,D9_dash_separator_heading,1,1.0
773840|10-K|MDA|item_absent_from_toc,7,773840,HONEYWELL INTERNATIONAL INC,10-K,MDA,item_absent_from_toc,0000773840-26-000013,2026-02-17,,1,1,1,13,15,1,0,0,1,1,68963,5,6,0,0,D11_item_no_not_row_prefix,2,3.5
773840|10-K|RISK_FACTORS|item_absent_from_toc,7,773840,HONEYWELL INTERNATIONAL INC,10-K,RISK_FACTORS,item_absent_from_toc,0000773840-26-000013,2026-02-17,,1,1,1,20,21,1,0,0,1,1,68963,5,6,0,0,D11_item_no_not_row_prefix,2,3.5
827052|10-K|MDA|no_toc_and_no_heading_match,4,827052,EDISON INTERNATIONAL,10-K,MDA,no_toc_and_no_heading_match,0000827052-16-000222,2016-02-23,,0,0,0,3,3,0,0,0,1,0,71666,0,,0,0,D15_title_present_item_label_far,2,2.0
827052|10-Q|MDA|no_toc_and_no_heading_match,34,827052,EDISON INTERNATIONAL,10-Q,MDA,no_toc_and_no_heading_match,0000827052-17-000128,2017-05-01,,0,0,0,3,3,0,0,0,2,0,23331,0,,0,0,D15_title_present_item_label_far,2,17.0
827052|10-K|MDA|no_toc_and_no_heading_match,4,827052,EDISON INTERNATIONAL,10-K,MDA,no_toc_and_no_heading_match,0000827052-19-000034,2019-02-28,,0,0,0,3,3,0,0,0,1,0,82398,0,,0,0,D15_title_present_item_label_far,2,2.0
827052|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,34,827052,EDISON INTERNATIONAL,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000827052-20-000134,2020-10-27,,0,0,0,2,6,0,0,1,1,0,47209,0,,0,0,D15_title_present_item_label_far,2,17.0
827052|10-Q|MDA|no_toc_and_no_heading_match,34,827052,EDISON INTERNATIONAL,10-Q,MDA,no_toc_and_no_heading_match,0000827052-22-000031,2022-05-03,,0,0,0,3,3,0,0,0,1,0,31405,0,,0,0,D15_title_present_item_label_far,2,17.0
827052|10-K|RISK_FACTORS|no_toc_and_no_heading_match,11,827052,EDISON INTERNATIONAL,10-K,RISK_FACTORS,no_toc_and_no_heading_match,0000827052-23-000010,2023-02-23,,0,0,0,2,6,0,0,1,1,0,94889,0,,0,0,D15_title_present_item_label_far,2,5.5
827052|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,34,827052,EDISON INTERNATIONAL,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000827052-23-000037,2023-05-02,,0,0,0,0,2,0,0,0,0,0,31327,0,,0,0,D16_kw_present_no_heading_line,2,17.0
827052|10-K|RISK_FACTORS|no_toc_and_no_heading_match,11,827052,EDISON INTERNATIONAL,10-K,RISK_FACTORS,no_toc_and_no_heading_match,0000827052-24-000013,2024-02-22,,0,0,0,2,6,0,0,1,1,0,94680,0,,0,0,D15_title_present_item_label_far,2,5.5
831001|10-K|MDA|no_toc_and_no_heading_match,11,831001,CITIGROUP INC,10-K,MDA,no_toc_and_no_heading_match,0000831001-18-000040,2018-02-23,,0,0,0,3,5,1,0,0,0,1,174095,0,,0,0,D7_no_item_labels_bare_title,2,5.5
831001|10-K|MDA|no_toc_and_no_heading_match,11,831001,CITIGROUP INC,10-K,MDA,no_toc_and_no_heading_match,0000831001-19-000027,2019-02-22,,0,0,0,3,5,1,0,0,0,1,168301,0,,0,0,D7_no_item_labels_bare_title,2,5.5
831001|10-Q|MDA|no_toc_and_no_heading_match,34,831001,CITIGROUP INC,10-Q,MDA,no_toc_and_no_heading_match,0000831001-19-000105,2019-11-01,,0,0,0,2,3,0,0,0,0,0,95180,0,,0,0,D7_no_item_labels_bare_title,2,17.0
831001|10-Q|MDA|no_toc_and_no_heading_match,34,831001,CITIGROUP INC,10-Q,MDA,no_toc_and_no_heading_match,0000831001-20-000044,2020-05-04,,0,0,0,2,3,0,0,0,0,0,95961,0,,0,0,D7_no_item_labels_bare_title,2,17.0
831001|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,34,831001,CITIGROUP INC,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000831001-20-000044,2020-05-04,,0,0,0,2,26,0,0,0,0,0,95961,0,,0,0,D7_no_item_labels_bare_title,2,17.0
831001|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,34,831001,CITIGROUP INC,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000831001-20-000110,2020-11-04,,0,0,0,2,27,0,0,0,0,0,110566,0,,0,0,D7_no_item_labels_bare_title,2,17.0
831001|10-K|RISK_FACTORS|no_toc_and_no_heading_match,11,831001,CITIGROUP INC,10-K,RISK_FACTORS,no_toc_and_no_heading_match,0000831001-22-000036,2022-02-28,,0,0,0,3,54,1,0,0,0,1,189465,0,,0,0,D7_no_item_labels_bare_title,2,5.5
831001|10-K|RISK_FACTORS|no_toc_and_no_heading_match,11,831001,CITIGROUP INC,10-K,RISK_FACTORS,no_toc_and_no_heading_match,0000831001-23-000037,2023-02-27,,0,0,0,3,56,1,0,0,0,1,192926,0,,0,0,D7_no_item_labels_bare_title,2,5.5
831259|10-K|MDA|item_absent_from_toc,11,831259,FREEPORT-MCMORAN INC,10-K,MDA,item_absent_from_toc,0000831259-17-000012,2017-02-24,,0,0,0,0,7,7,3,0,1,0,126510,39,"10,11,12,13,14,15,16,1A,1B,3,4,5,6,8,9,9A,9B",0,0,D10_combined_item_toc_row,2,5.5
831259|10-K|MDA|item_absent_from_toc,11,831259,FREEPORT-MCMORAN INC,10-K,MDA,item_absent_from_toc,0000831259-20-000004,2020-02-14,,0,0,0,0,6,9,2,0,0,0,106212,39,"10,11,12,13,14,15,16,1A,1B,3,4,5,6,8,9,9A,9B",0,0,D10_combined_item_toc_row,2,5.5
885725|10-Q|MDA|item_absent_from_toc,1,885725,BOSTON SCIENTIFIC CORP,10-Q,MDA,item_absent_from_toc,0000885725-26-000033,2026-05-01,,2,2,2,2,4,0,0,0,2,0,21432,24,"1,1A,2,3,4,5,6",1,1,D_other_absent,1,1.0
895421|10-K|MDA|item_absent_from_toc,9,895421,MORGAN STANLEY,10-K,MDA,item_absent_from_toc,0000895421-20-000265,2020-02-27,,0,0,1,35,51,0,0,0,1,0,120759,50,"1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9",1,0,D14_toc_row_kw_mismatch,2,4.5
895421|10-Q|MDA|item_absent_from_toc,29,895421,MORGAN STANLEY,10-Q,MDA,item_absent_from_toc,0000895421-20-000429,2020-08-04,,0,0,0,33,52,0,0,0,0,0,57505,59,"1,10,11,12,13,14,15,16,17,18,19,2,3,4,5,6,7,8,9",1,0,D14_toc_row_kw_mismatch,2,14.5
895421|10-K|RISK_FACTORS|item_absent_from_toc,9,895421,MORGAN STANLEY,10-K,RISK_FACTORS,item_absent_from_toc,0000895421-23-000284,2023-02-24,,0,0,0,2,22,0,0,0,0,0,118183,50,"1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9",0,0,D11_item_no_not_row_prefix,2,4.5
895421|10-Q|MDA|item_absent_from_toc,29,895421,MORGAN STANLEY,10-Q,MDA,item_absent_from_toc,0000895421-23-000315,2023-05-02,,0,0,0,23,40,0,0,0,0,0,47145,59,"1,10,11,12,13,14,15,16,17,18,19,2,3,4,5,6,7,8,9",1,0,D14_toc_row_kw_mismatch,2,14.5
922224|10-K|MDA|item_absent_from_toc,1,922224,PPL Corp,10-K,MDA,item_absent_from_toc,0000922224-16-000130,2016-02-19,,0,0,15,2,18,0,0,0,17,0,133367,41,"1,10,11,12,13,14,15,16,17,18,19,1A,1B,2,20,21,3,4,5,6,7,7A,8,9,9A,9B",1,0,D14_toc_row_kw_mismatch,1,1.0
927628|10-K|RISK_FACTORS|item_absent_from_toc,1,927628,CAPITAL ONE FINANCIAL CORP,10-K,RISK_FACTORS,item_absent_from_toc,0000927628-16-000140,2016-02-25,,6,6,6,3,8,0,0,0,6,0,130430,120,"1,10,11,12,13,14,15,16,17,18,19,1A,1B,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,1,1.0
